record_id,model_label,domain_pair,integration_level,has_quoted_claim
F017_40101218,Nex-N2-Mini,triadic,descriptive,yes
F018_39326720,Nex-N2-Mini,bio_psych,mechanistic,yes
F018_39326720,Nex-N2-Mini,psych_social,directional,yes
F018_39326720,Nex-N2-Mini,bio_social,directional,yes
F018_39326720,Nex-N2-Mini,triadic,partial,yes
F019_39834401,Nex-N2-Mini,bio_psych,mechanistic,yes
F019_39834401,Nex-N2-Mini,psych_social,directional,yes
F019_39834401,Nex-N2-Mini,triadic,partial,yes
F020_39652850,Nex-N2-Mini,bio_psych,mechanistic,yes
F020_39652850,Nex-N2-Mini,psych_social,mechanistic,yes
F020_39652850,Nex-N2-Mini,bio_social,mechanistic,yes
F020_39652850,Nex-N2-Mini,triadic,mechanistic,yes
F021_39639261,Nex-N2-Mini,bio_psych,descriptive,yes
F021_39639261,Nex-N2-Mini,psych_social,directional,yes
F021_39639261,Nex-N2-Mini,triadic,descriptive,yes
F022_39468650,Nex-N2-Mini,bio_psych,mechanistic,yes
F022_39468650,Nex-N2-Mini,triadic,partial,yes
F023_39200209,Nex-N2-Mini,bio_psych,mechanistic,yes
F023_39200209,Nex-N2-Mini,psych_social,mechanistic,no
F023_39200209,Nex-N2-Mini,bio_social,mechanistic,yes
F023_39200209,Nex-N2-Mini,triadic,mechanistic,yes
F024_39073865,Nex-N2-Mini,bio_psych,directional,yes
F024_39073865,Nex-N2-Mini,psych_social,directional,yes
F024_39073865,Nex-N2-Mini,triadic,descriptive,yes
F025_41188763,Nex-N2-Mini,bio_psych,mechanistic,yes
F025_41188763,Nex-N2-Mini,psych_social,mechanistic,yes
F025_41188763,Nex-N2-Mini,bio_social,mechanistic,yes
F025_41188763,Nex-N2-Mini,triadic,descriptive,yes
F026_40868970,Nex-N2-Mini,bio_psych,mechanistic,yes
F026_40868970,Nex-N2-Mini,psych_social,directional,yes
F026_40868970,Nex-N2-Mini,bio_social,directional,yes
F026_40868970,Nex-N2-Mini,triadic,descriptive,yes
F027_41783653,Nex-N2-Mini,bio_psych,directional,yes
F027_41783653,Nex-N2-Mini,psych_social,directional,yes
F027_41783653,Nex-N2-Mini,bio_social,directional,yes
F027_41783653,Nex-N2-Mini,triadic,descriptive,yes
F028_42403485,Nex-N2-Mini,bio_psych,mechanistic,yes
F028_42403485,Nex-N2-Mini,bio_social,directional,yes
F028_42403485,Nex-N2-Mini,triadic,partial,yes
F029_41930351,Nex-N2-Mini,bio_psych,mechanistic,yes
F029_41930351,Nex-N2-Mini,psych_social,directional,yes
F029_41930351,Nex-N2-Mini,bio_social,descriptive,no
F029_41930351,Nex-N2-Mini,triadic,descriptive,yes
F030_41897178,Nex-N2-Mini,bio_psych,mechanistic,yes
F030_41897178,Nex-N2-Mini,psych_social,mechanistic,yes
F030_41897178,Nex-N2-Mini,bio_social,descriptive,yes
F030_41897178,Nex-N2-Mini,triadic,descriptive,yes
F031_41271275,Nex-N2-Mini,bio_psych,mechanistic,yes
F031_41271275,Nex-N2-Mini,psych_social,directional,yes
F031_41271275,Nex-N2-Mini,triadic,descriptive,yes
F032_41412623,Nex-N2-Mini,bio_psych,descriptive,yes
F032_41412623,Nex-N2-Mini,bio_social,descriptive,yes
F032_41412623,Nex-N2-Mini,triadic,descriptive,yes
F033_41324834,Nex-N2-Mini,bio_psych,mechanistic,yes
F033_41324834,Nex-N2-Mini,psych_social,mechanistic,yes
F033_41324834,Nex-N2-Mini,bio_social,mechanistic,yes
F033_41324834,Nex-N2-Mini,triadic,mechanistic,yes
F034_41268985,Nex-N2-Mini,bio_psych,directional,yes
F034_41268985,Nex-N2-Mini,psych_social,directional,yes
F034_41268985,Nex-N2-Mini,bio_social,descriptive,yes
F034_41268985,Nex-N2-Mini,triadic,partial,yes
F035_41153499,Nex-N2-Mini,bio_psych,mechanistic,yes
F035_41153499,Nex-N2-Mini,psych_social,mechanistic,yes
F035_41153499,Nex-N2-Mini,bio_social,directional,yes
F035_41153499,Nex-N2-Mini,triadic,descriptive,yes
F036_41105043,Nex-N2-Mini,bio_psych,mechanistic,yes
F036_41105043,Nex-N2-Mini,bio_social,directional,yes
F036_41105043,Nex-N2-Mini,triadic,partial,yes
F037_40731802,Nex-N2-Mini,bio_psych,directional,yes
F037_40731802,Nex-N2-Mini,psych_social,directional,yes
F037_40731802,Nex-N2-Mini,bio_social,directional,yes
F037_40731802,Nex-N2-Mini,triadic,descriptive,yes
F038_40589056,Nex-N2-Mini,bio_psych,mechanistic,yes
F038_40589056,Nex-N2-Mini,psych_social,directional,yes
F038_40589056,Nex-N2-Mini,bio_social,directional,yes
F038_40589056,Nex-N2-Mini,triadic,partial,yes
F039_40566105,Nex-N2-Mini,bio_psych,mechanistic,yes
F039_40566105,Nex-N2-Mini,psych_social,mechanistic,yes
F039_40566105,Nex-N2-Mini,bio_social,mechanistic,yes
F039_40566105,Nex-N2-Mini,triadic,descriptive,yes
F040_40563913,Nex-N2-Mini,bio_psych,mechanistic,yes
F040_40563913,Nex-N2-Mini,psych_social,descriptive,yes
F040_40563913,Nex-N2-Mini,bio_social,directional,yes
F040_40563913,Nex-N2-Mini,triadic,partial,yes
F041_40522393,Nex-N2-Mini,bio_psych,mechanistic,yes
F041_40522393,Nex-N2-Mini,psych_social,directional,yes
F041_40522393,Nex-N2-Mini,bio_social,directional,yes
F041_40522393,Nex-N2-Mini,triadic,partial,yes
F042_40508951,Nex-N2-Mini,bio_psych,mechanistic,yes
F042_40508951,Nex-N2-Mini,psych_social,directional,yes
F042_40508951,Nex-N2-Mini,bio_social,directional,yes
F042_40508951,Nex-N2-Mini,triadic,partial,yes
F043_40495824,Nex-N2-Mini,bio_psych,directional,yes
F043_40495824,Nex-N2-Mini,bio_social,mechanistic,yes
F043_40495824,Nex-N2-Mini,triadic,mechanistic,yes
F044_40473903,Nex-N2-Mini,bio_psych,mechanistic,yes
F044_40473903,Nex-N2-Mini,psych_social,descriptive,yes
F044_40473903,Nex-N2-Mini,bio_social,descriptive,yes
F044_40473903,Nex-N2-Mini,triadic,descriptive,yes
F045_39629040,Nex-N2-Mini,bio_psych,mechanistic,yes
F045_39629040,Nex-N2-Mini,psych_social,directional,yes
F045_39629040,Nex-N2-Mini,bio_social,directional,yes
F046_39624230,Nex-N2-Mini,bio_psych,mechanistic,yes
F046_39624230,Nex-N2-Mini,psych_social,mechanistic,yes
F046_39624230,Nex-N2-Mini,bio_social,mechanistic,yes
F046_39624230,Nex-N2-Mini,triadic,descriptive,yes
F047_39338018,Nex-N2-Mini,bio_psych,directional,yes
F047_39338018,Nex-N2-Mini,psych_social,directional,yes
F047_39338018,Nex-N2-Mini,bio_social,directional,no
F047_39338018,Nex-N2-Mini,triadic,descriptive,yes
F001_42080121,Laguna-XS-2.1,bio_psych,directional,yes
F001_42080121,Laguna-XS-2.1,psych_social,directional,yes
F001_42080121,Laguna-XS-2.1,triadic,partial,yes
F003_41868689,Laguna-XS-2.1,psych_social,directional,yes
F006_41676335,Laguna-XS-2.1,bio_psych,directional,yes
F006_41676335,Laguna-XS-2.1,psych_social,mechanistic,yes
F006_41676335,Laguna-XS-2.1,triadic,partial,no
F007_41436105,Laguna-XS-2.1,bio_psych,directional,yes
F007_41436105,Laguna-XS-2.1,psych_social,directional,no
F007_41436105,Laguna-XS-2.1,triadic,descriptive,yes
F008_41409397,Laguna-XS-2.1,bio_psych,directional,yes
F009_41356326,Laguna-XS-2.1,bio_psych,directional,yes
F010_41221343,Laguna-XS-2.1,bio_psych,directional,yes
F010_41221343,Laguna-XS-2.1,psych_social,directional,yes
F010_41221343,Laguna-XS-2.1,triadic,descriptive,yes
F011_41146083,Laguna-XS-2.1,psych_social,directional,yes
F014_40300000,Laguna-XS-2.1,psych_social,directional,yes
F015_40276470,Laguna-XS-2.1,bio_psych,directional,yes
F016_40248751,Laguna-XS-2.1,psych_social,descriptive,yes
F019_39834401,Laguna-XS-2.1,bio_psych,directional,yes
F019_39834401,Laguna-XS-2.1,psych_social,directional,yes
F019_39834401,Laguna-XS-2.1,triadic,partial,yes
F023_39200209,Laguna-XS-2.1,bio_psych,mechanistic,yes
F023_39200209,Laguna-XS-2.1,psych_social,mechanistic,yes
F023_39200209,Laguna-XS-2.1,bio_social,mechanistic,yes
F023_39200209,Laguna-XS-2.1,triadic,mechanistic,yes
F026_40868970,Laguna-XS-2.1,bio_psych,directional,yes
F026_40868970,Laguna-XS-2.1,psych_social,directional,yes
F026_40868970,Laguna-XS-2.1,triadic,descriptive,yes
F028_42403485,Laguna-XS-2.1,bio_psych,directional,yes
F030_41897178,Laguna-XS-2.1,bio_psych,directional,yes
F030_41897178,Laguna-XS-2.1,psych_social,directional,yes
F030_41897178,Laguna-XS-2.1,bio_social,directional,yes
F030_41897178,Laguna-XS-2.1,triadic,descriptive,yes
F031_41271275,Laguna-XS-2.1,psych_social,directional,yes
F033_41324834,Laguna-XS-2.1,psych_social,directional,yes
F035_41153499,Laguna-XS-2.1,psych_social,directional,yes
F038_40589056,Laguna-XS-2.1,psych_social,directional,yes
F040_40563913,Laguna-XS-2.1,bio_psych,directional,yes
F041_40522393,Laguna-XS-2.1,bio_psych,mechanistic,yes
F042_40508951,Laguna-XS-2.1,bio_psych,directional,yes
F042_40508951,Laguna-XS-2.1,psych_social,descriptive,yes
F042_40508951,Laguna-XS-2.1,triadic,partial,no
F046_39624230,Laguna-XS-2.1,bio_psych,directional,yes
F046_39624230,Laguna-XS-2.1,psych_social,directional,yes
F046_39624230,Laguna-XS-2.1,bio_social,directional,yes
F046_39624230,Laguna-XS-2.1,triadic,descriptive,yes
