record_id,year,reference_label,description,description_focus,description_source,description_char_count,fulltext_cached_path,fulltext_status,manual_fulltext_review_needed,review_type,icd11_pain_category,objective_category,bps_function,provisional_typology
pubmed_10908542,2000,Karjalainen (2000),This systematic review was focused on biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.,Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults,title_fallback,133,,manual_retrieval_required,yes,systematic review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_11092802,2000,Ferrari (2000),This narrative review was focused on the biopsychosocial model--a tool for rheumatologists.,The biopsychosocial model--a tool for rheumatologists,title_fallback,91,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_11858295,2000,Wells-Federman (2000),This narrative review was focused on care of the patient with chronic pain: part II.,Care of the patient with chronic pain: part II,title_fallback,84,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,intervention rationale,multifactorial signal
pubmed_11762878,2001,Truchon (2001),This narrative review was focused on determinants of chronic disability related to low back pain: towards an integrative biopsychosocial model.,Determinants of chronic disability related to low back pain: towards an integrative biopsychosocial model,title_fallback,143,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_12421777,2002,Ferrari (2002),This narrative review was focused on prevention of chronic pain after whiplash.,Prevention of chronic pain after whiplash,title_fallback,79,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC1756295.txt,pmc_fulltext_low_content_manual_check,yes,narrative or expert review,chronic postsurgical or posttraumatic pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_12720511,2003,Goucke (2003),This narrative review was focused on the management of persistent pain.,The management of persistent pain,title_fallback,71,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,intervention rationale,multifactorial signal
pubmed_12948346,2003,Victor (2003),This narrative review was focused on psychosocial therapies for neck pain.,Psychosocial therapies for neck pain,title_fallback,74,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,explanatory framework,pseudo-bps or partial signal
pubmed_16968689,2006,Waddell (2006),This narrative review was focused on preventing incapacity in people with musculoskeletal disorders.,Preventing incapacity in people with musculoskeletal disorders,title_fallback,100,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_17149465,2006,Low (2006),This narrative review was focused on back injuries--getting injured workers back to work.,Back injuries--getting injured workers back to work,title_fallback,89,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_17350550,2007,Bergman (2007),This narrative review was focused on management of musculoskeletal pain.,Management of musculoskeletal pain,title_fallback,72,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,explanatory framework,pseudo-bps or partial signal
pubmed_17371358,2007,Nicholson (2007),This narrative review was focused on psychological risk factors in headache.,Psychological risk factors in headache,title_fallback,76,,,no,narrative or expert review,chronic secondary headache or orofacial pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_17420400,2007,Jensen (2007),This meta-analysis was focused on the impact of neuropathic pain on health-related quality of life: review and implications.,The impact of neuropathic pain on health-related quality of life: review and implications,title_fallback,124,,manual_retrieval_required,yes,meta-analysis,chronic secondary musculoskeletal pain,mixed,intervention rationale,pseudo-bps or partial signal
pubmed_17592957,2007,Gatchel (2007),This narrative review was focused on the biopsychosocial approach to chronic pain: scientific advances and future directions.,The biopsychosocial approach to chronic pain: scientific advances and future directions,title_fallback,125,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_18235536,2008,Scascighini (2008),This narrative review was focused on chronic nonmalignant pain: a challenge for patients and clinicians.,Chronic nonmalignant pain: a challenge for patients and clinicians,title_fallback,104,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_19160209,2009,Karjalainen (2009),This systematic review was focused on WITHDRAWN: Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.,WITHDRAWN: Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults,title_fallback,144,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10734264.txt,pmc_fulltext_low_content_manual_check,yes,systematic review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_19289225,2009,Buse (2009),This systematic review was focused on behavioral medicine for migraine.,Behavioral medicine for migraine,title_fallback,71,,,no,systematic review,chronic secondary headache or orofacial pain,clinical,intervention rationale,multifactorial signal
pubmed_19418887,2009,Bay (2009),This narrative review was focused on early stress response: a vulnerability framework for functional impairment following mild traumatic brain injury.,Early stress response: a vulnerability framework for functional impairment following mild traumatic brain injury,title_fallback,150,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_20425201,2010,Lee (2010),"This narrative review was focused on unravelling the mystery of pain, suffering, and relief with brain imaging.","Unravelling the mystery of pain, suffering, and relief with brain imaging",title_fallback,111,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_21373784,2011,Baeza-Velasco (2011),This narrative review was focused on joint hypermobility syndrome: problems that require psychological intervention.,Joint hypermobility syndrome: problems that require psychological intervention,title_fallback,116,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_22102156,2012,Seshia (2012),This narrative review was focused on chronic daily headache in children and adolescents.,Chronic daily headache in children and adolescents,title_fallback,88,,,no,narrative or expert review,chronic secondary headache or orofacial pain,clinical,intervention rationale,multifactorial signal
pubmed_22406986,2012,Williams (2012),This narrative review was focused on medically unexplained symptoms and pain: misunderstanding and myth.,Medically unexplained symptoms and pain: misunderstanding and myth,title_fallback,104,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_22435173,2012,Simmons (2012),This meta-analysis was focused on a critical review of Dr.,"A critical review of Dr. Charles S. Greene's article titled ""Managing the Care of Patients with Temporomandibular...",title_fallback,58,,manual_retrieval_required,yes,meta-analysis,chronic secondary headache or orofacial pain,conceptual,rhetorical label,rhetorical label signal
pubmed_22550985,2012,Renton (2012),This narrative review was focused on the classification and differential diagnosis of orofacial pain.,The classification and differential diagnosis of orofacial pain,title_fallback,101,,,no,narrative or expert review,chronic secondary headache or orofacial pain,mixed,justification,pseudo-bps or partial signal
pubmed_22814445,2012,Puentedura (2012),This systematic review was focused on a neuroscience approach to managing athletes with low back pain.,A neuroscience approach to managing athletes with low back pain,title_fallback,102,,manual_retrieval_required,yes,systematic review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_23218435,2012,Wilkie (2012),This narrative review was focused on improving work participation for adults with musculoskeletal conditions.,Improving work participation for adults with musculoskeletal conditions,title_fallback,109,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_23314014,2013,Woo (2013),This narrative review was focused on evidence-based approach to manage persistent wound-related pain.,Evidence-based approach to manage persistent wound-related pain,title_fallback,101,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_23786498,2013,Pergolizzi (2013),This narrative review was focused on the development of chronic pain: physiological CHANGE necessitates a multidisciplinary approach to treatment.,The development of chronic pain: physiological CHANGE necessitates a multidisciplinary approach to treatment,title_fallback,146,,,no,narrative or expert review,mixed or unspecified chronic pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_24080806,2013,Williams (2013),This narrative review was focused on the importance of psychological assessment in chronic pain.,The importance of psychological assessment in chronic pain,title_fallback,96,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4295636.txt,pmc_fulltext_cached,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_24113949,2013,Durham (2013),This narrative review was focused on oral surgery: part 3.,Oral surgery: part 3. Temporomandibular disorders,title_fallback,58,,,no,narrative or expert review,chronic secondary headache or orofacial pain,clinical,rhetorical label,rhetorical label signal
pubmed_24261452,2014,Shephard (2014),This narrative review was focused on orofacial pain: a guide for the headache physician.,Orofacial pain: a guide for the headache physician,title_fallback,88,,,no,narrative or expert review,chronic secondary headache or orofacial pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_24405725,2014,Phyomaung (2014),"This systematic review was focused on are depression, anxiety and poor mental health risk factors for knee pain?.","Are depression, anxiety and poor mental health risk factors for knee pain?",title_fallback,113,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC3907141.txt,pmc_fulltext_cached,yes,systematic review,chronic secondary musculoskeletal pain,epidemiological,intervention rationale,pseudo-bps or partial signal
pubmed_24602442,2014,Matteliano (2014),This systematic review was focused on adherence monitoring with chronic opioid therapy for persistent pain: a biopsychosocial-spiritual approach to.,Adherence monitoring with chronic opioid therapy for persistent pain: a biopsychosocial-spiritual approach to...,title_fallback,148,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC3950820.txt,pmc_fulltext_cached,yes,systematic review,mixed or unspecified chronic pain,clinical,organizing principle,pseudo-bps or partial signal
pubmed_24690764,2014,Novy (2014),This narrative review was focused on the biopsychosocial model in cancer pain.,The biopsychosocial model in cancer pain,title_fallback,78,,,no,narrative or expert review,chronic cancer-related pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_24716562,2014,Chogle (2014),"This narrative review was focused on pediatric IBS: an overview on pathophysiology, diagnosis and treatment.","Pediatric IBS: an overview on pathophysiology, diagnosis and treatment",title_fallback,108,,manual_retrieval_required,yes,narrative or expert review,chronic secondary visceral pain,conceptual,explanatory framework,potential integrative signal
pubmed_24966693,2014,Gerdle (2014),This narrative review was focused on chronic musculoskeletal pain: review of mechanisms and biochemical biomarkers as assessed by the microdialysis technique.,Chronic musculoskeletal pain: review of mechanisms and biochemical biomarkers as assessed by the microdialysis technique,title_fallback,158,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4062547.txt,pmc_fulltext_cached,yes,narrative or expert review,chronic secondary musculoskeletal pain,conceptual,explanatory framework,potential integrative signal
pubmed_26096090,2014,Hague (2014),This narrative review was focused on how to investigate: Chronic pain.,How to investigate: Chronic pain,title_fallback,70,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,rhetorical label,rhetorical label signal
pubmed_25953594,2015,Pelletier (2015),This systematic review was focused on addressing Neuroplastic Changes in Distributed Areas of the Nervous System Associated With Chronic Musculoskeletal.,Addressing Neuroplastic Changes in Distributed Areas of the Nervous System Associated With Chronic Musculoskeletal...,title_fallback,153,,manual_retrieval_required,yes,systematic review,chronic secondary musculoskeletal pain,clinical,explanatory framework,potential integrative signal
pubmed_26039013,2015,Kent (2015),"This narrative review was focused on goal-Directed Resilience in Training (GRIT): A Biopsychosocial Model of Self-Regulation, Executive Functions, and.","Goal-Directed Resilience in Training (GRIT): A Biopsychosocial Model of Self-Regulation, Executive Functions, and...",title_fallback,151,,,no,narrative or expert review,mixed or unspecified chronic pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_26600874,2015,Obermann (2015),This narrative review was focused on an update on the management of post-traumatic headache.,An update on the management of post-traumatic headache,title_fallback,92,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4643870.txt,pmc_fulltext_low_content_manual_check,yes,narrative or expert review,chronic postsurgical or posttraumatic pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_26148424,2016,Thornton (2016),This narrative review was focused on current concepts in vulvodynia with a focus on pathogenesis and pain mechanisms.,Current concepts in vulvodynia with a focus on pathogenesis and pain mechanisms,title_fallback,117,,manual_retrieval_required,yes,narrative or expert review,chronic primary pain,clinical,intervention rationale,multifactorial signal
pubmed_26614715,2016,Walk (2016),"This narrative review was focused on chronic Pain Management: An Overview of Taxonomy, Conditions Commonly Encountered, and Assessment.","Chronic Pain Management: An Overview of Taxonomy, Conditions Commonly Encountered, and Assessment",title_fallback,135,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,organizing principle,pseudo-bps or partial signal
pubmed_26614718,2016,Cheatle (2016),This narrative review was focused on biopsychosocial Approach to Assessing and Managing Patients with Chronic Pain.,Biopsychosocial Approach to Assessing and Managing Patients with Chronic Pain,title_fallback,115,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_26889614,2016,Giummarra (2016),This systematic review was focused on chronic Pain Following Motor Vehicle Collision: A Systematic Review of Outcomes Associated With Seeking or Receiving.,Chronic Pain Following Motor Vehicle Collision: A Systematic Review of Outcomes Associated With Seeking or Receiving...,title_fallback,155,,manual_retrieval_required,yes,systematic review,chronic postsurgical or posttraumatic pain,epidemiological,explanatory framework,pseudo-bps or partial signal
pubmed_27023418,2016,Ditre (2016),This meta-analysis was focused on acute analgesic effects of nicotine and tobacco in humans.,Acute analgesic effects of nicotine and tobacco in humans,title_fallback,92,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4912401.txt,pmc_fulltext_cached,yes,meta-analysis,mixed or unspecified chronic pain,epidemiological,rhetorical label,rhetorical label signal
pubmed_27246519,2016,Borsook (2016),This systematic review was focused on reward deficiency and anti-reward in pain chronification.,Reward deficiency and anti-reward in pain chronification,title_fallback,95,,manual_retrieval_required,yes,systematic review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_27325001,2016,Zakrzewska (2016),This systematic review was focused on chronic/Persistent Idiopathic Facial Pain.,Chronic/Persistent Idiopathic Facial Pain,title_fallback,80,,manual_retrieval_required,yes,systematic review,chronic secondary headache or orofacial pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_27344405,2016,Hooten (2016),"This narrative review was focused on chronic Pain and Mental Health Disorders: Shared Neural Mechanisms, Epidemiology, and Treatment.","Chronic Pain and Mental Health Disorders: Shared Neural Mechanisms, Epidemiology, and Treatment",title_fallback,133,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,explanatory framework,pseudo-bps or partial signal
pubmed_27351769,2016,Wijma (2016),This narrative review was focused on clinical biopsychosocial physiotherapy assessment of patients with chronic pain: The first step in pain neuroscience.,Clinical biopsychosocial physiotherapy assessment of patients with chronic pain: The first step in pain neuroscience...,title_fallback,154,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,organizing principle,potential integrative signal
pubmed_27496639,2016,Robinson (2016),This narrative review was focused on allogeneic stem cell transplantation for sickle cell disease.,Allogeneic stem cell transplantation for sickle cell disease,title_fallback,98,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC5130409.txt,pmc_fulltext_cached,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,rhetorical label,rhetorical label signal
pubmed_27902569,2017,Fillingim (2017),This narrative review was focused on individual differences in pain: understanding the mosaic that makes pain personal.,Individual differences in pain: understanding the mosaic that makes pain personal,title_fallback,119,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC5350021.txt,pmc_fulltext_cached,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_28359011,2017,Bardin (2017),This narrative review was focused on diagnostic triage for low back pain: a practical approach for primary care.,Diagnostic triage for low back pain: a practical approach for primary care,title_fallback,112,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,organizing principle,pseudo-bps or partial signal
pubmed_28371175,2017,Booth (2017),This narrative review was focused on exercise for chronic musculoskeletal pain: A biopsychosocial approach.,Exercise for chronic musculoskeletal pain: A biopsychosocial approach,title_fallback,107,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,intervention rationale,multifactorial signal
pubmed_28752491,2017,Bartley (2017),This systematic review was focused on predictors of Osteoarthritis Pain: the Importance of Resilience.,Predictors of Osteoarthritis Pain: the Importance of Resilience,title_fallback,102,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6335024.txt,pmc_fulltext_cached,yes,systematic review,chronic secondary musculoskeletal pain,conceptual,explanatory framework,pseudo-bps or partial signal
WOS:000453643300005,2018,Draper-Rodi (2018),This scoping review was focused on identification of prognostic factors and assessment methods on the evaluation of non-specific low back pain in a.,Identification of prognostic factors and assessment methods on the evaluation of non-specific low back pain in a...,title_fallback,148,,manual_retrieval_required,yes,scoping or mapping review,chronic secondary musculoskeletal pain,clinical,organizing principle,pseudo-bps or partial signal
pubmed_28947182,2018,Gagliese (2018),"This systematic review was focused on pain, aging and dementia: Towards a biopsychosocial model.","Pain, aging and dementia: Towards a biopsychosocial model",title_fallback,96,,manual_retrieval_required,yes,systematic review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_29460009,2018,Chou (2018),This systematic review was focused on the Global Spine Care Initiative: applying evidence-based guidelines on the non-invasive management of back and neck.,The Global Spine Care Initiative: applying evidence-based guidelines on the non-invasive management of back and neck...,title_fallback,155,,manual_retrieval_required,yes,systematic review,chronic secondary musculoskeletal pain,clinical,intervention rationale,multifactorial signal
pubmed_29494401,2018,Martucci (2018),This narrative review was focused on neuroimaging of Pain: Human Evidence and Clinical Relevance of Central Nervous System Processes and Modulation.,Neuroimaging of Pain: Human Evidence and Clinical Relevance of Central Nervous System Processes and Modulation,title_fallback,148,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC5953782.txt,pmc_fulltext_cached,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,rhetorical label,rhetorical label signal
pubmed_29722923,2018,Tai (2018),This systematic review was focused on enriched Environment and Effects on Neuropathic Pain: Experimental Findings and Mechanisms.,Enriched Environment and Effects on Neuropathic Pain: Experimental Findings and Mechanisms,title_fallback,129,,,no,systematic review,chronic neuropathic pain,clinical,rhetorical label,rhetorical label signal
pubmed_29729787,2018,Brandow (2018),This narrative review was focused on key Components of Pain Management for Children and Adults with Sickle Cell Disease.,Key Components of Pain Management for Children and Adults with Sickle Cell Disease,title_fallback,120,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6800257.txt,pmc_fulltext_cached,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,background framing,rhetorical label signal
pubmed_30520741,2019,Luchting (2019),This narrative review was focused on pain therapy for the elderly patient: is opioid-free an option?.,Pain therapy for the elderly patient: is opioid-free an option?,title_fallback,101,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_30594766,2019,Mousavi (2019),This narrative review was focused on low back pain: Moving toward mechanism-based management.,Low back pain: Moving toward mechanism-based management,title_fallback,93,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_30893103,2019,Schweinhardt (2019),This narrative review was focused on where has the 'bio' in bio-psycho-social gone?.,Where has the 'bio' in bio-psycho-social gone?,title_fallback,84,,manual_retrieval_required,yes,narrative or expert review,chronic postsurgical or posttraumatic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_31466408,2019,Ford (2019),This narrative review was focused on the Evolving Case Supporting Individualised Physiotherapy for Low Back Pain.,The Evolving Case Supporting Individualised Physiotherapy for Low Back Pain,title_fallback,113,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6780711.txt,pmc_fulltext_cached,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_31878346,2019,Paley (2019),This systematic review was focused on acupuncture for the Relief of Chronic Pain: A Synthesis of Systematic Reviews.,Acupuncture for the Relief of Chronic Pain: A Synthesis of Systematic Reviews,title_fallback,116,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC7023333.txt,pmc_fulltext_cached,yes,systematic review,mixed or unspecified chronic pain,clinical,background framing,multifactorial signal
pubmed_32010899,2019,Şen (2019),This systematic review was focused on group Psychotherapy With Fibromyalgia Patients.,Group Psychotherapy With Fibromyalgia Patients,title_fallback,85,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6974394.txt,pmc_fulltext_low_content_manual_check,yes,systematic review,chronic primary pain,clinical,conclusion,rhetorical label signal
pubmed_31977935,2020,Holopainen (2020),This systematic review was focused on physiotherapists' perceptions of learning and implementing a biopsychosocial intervention to treat musculoskeletal.,Physiotherapists' perceptions of learning and implementing a biopsychosocial intervention to treat musculoskeletal...,title_fallback,153,,manual_retrieval_required,yes,systematic review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_32870949,2020,Greene (2020),"This narrative review was focused on treating Temporomandibular Disorders in the 21st Century: Can We Finally Eliminate the ""Third Pathway""?.","Treating Temporomandibular Disorders in the 21st Century: Can We Finally Eliminate the ""Third Pathway""?",title_fallback,141,,,no,narrative or expert review,chronic secondary headache or orofacial pain,clinical,justification,pseudo-bps or partial signal
pubmed_32871946,2020,Nduwimana (2020),This meta-analysis was focused on effectiveness of walking versus mind-body therapies in chronic low back pain: A systematic review and meta-analysis.,Effectiveness of walking versus mind-body therapies in chronic low back pain: A systematic review and meta-analysis...,title_fallback,150,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC7458239.txt,pmc_fulltext_cached,yes,meta-analysis,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_32988440,2020,Baxter (2020),This narrative review was focused on six things you need to know about low back pain.,Six things you need to know about low back pain,title_fallback,85,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_33396262,2020,D'Amico (2020),This scoping review was focused on mapping Assessments Instruments for Headache Disorders against the ICF Biopsychosocial Model of Health and Disability.,Mapping Assessments Instruments for Headache Disorders against the ICF Biopsychosocial Model of Health and Disability,title_fallback,153,,,no,scoping or mapping review,chronic secondary headache or orofacial pain,methodological,organizing principle,pseudo-bps or partial signal
pubmed_33563380,2021,Xu (2021),"This narrative review was focused on pain Management in Neurosurgery: Back and Lower Extremity Pain, Trigeminal Neuralgia.","Pain Management in Neurosurgery: Back and Lower Extremity Pain, Trigeminal Neuralgia",title_fallback,122,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_33682560,2021,Argyriou (2021),This systematic review was focused on an updated brief overview on post-traumatic headache and a systematic review of the non-pharmacological.,An updated brief overview on post-traumatic headache and a systematic review of the non-pharmacological...,title_fallback,142,,manual_retrieval_required,yes,systematic review,chronic secondary headache or orofacial pain,clinical,intervention rationale,multifactorial signal
pubmed_34793635,2021,Najem (2021),"This systematic review was focused on religious Beliefs and Attitudes in Relation to Pain, Pain-Related Beliefs, Function, and Coping in Chronic.","Religious Beliefs and Attitudes in Relation to Pain, Pain-Related Beliefs, Function, and Coping in Chronic...",title_fallback,145,,manual_retrieval_required,yes,systematic review,chronic secondary musculoskeletal pain,clinical,background framing,rhetorical label signal
pubmed_35434749,2022,Mustafa (2022),This narrative review was focused on toll-Like Receptor 4 in Pain: Bridging Molecules-to-Cells-to-Systems.,Toll-Like Receptor 4 in Pain: Bridging Molecules-to-Cells-to-Systems,title_fallback,106,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_35467583,2022,Green (2022),This narrative review was focused on persistent Pelvic Pain in Patients With Endometriosis.,Persistent Pelvic Pain in Patients With Endometriosis,title_fallback,91,,,no,narrative or expert review,chronic secondary visceral pain,clinical,organizing principle,pseudo-bps or partial signal
pubmed_35990762,2022,Edgar (2022),This narrative review was focused on biopsychosocial approach to tendinopathy.,Biopsychosocial approach to tendinopathy,title_fallback,78,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC9345071.txt,pmc_fulltext_cached,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,intervention rationale,multifactorial signal
pubmed_36278735,2022,Ferlito (2022),This systematic review was focused on pain Education in the Management of Patients with Chronic Low Back Pain.,Pain Education in the Management of Patients with Chronic Low Back Pain,title_fallback,110,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC9590060.txt,pmc_fulltext_cached,yes,systematic review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
