record_id,database,pmid,pmcid,doi,title,abstract,year,journal,authors,country_contact_author,publication_types,review_type,objective_text,objective_category,objective_category_source,icd11_pain_category,musculoskeletal_flag,bps_mention_location,bps_function,bio_mentioned,psych_mentioned,social_mentioned,quality_assessment_reported,psychological_concepts_detected,theoretical_frameworks_detected,conceptual_problem_flags,provisional_typology,stage3_candidate,stage3_priority,coding_rationale,coding_method,llm_model,screening_status,screening_reason,reviewer_a_objective_category,reviewer_b_objective_category,reviewer_a_provisional_typology,reviewer_b_provisional_typology,reviewer_a_notes,reviewer_b_notes,adjudicated_objective_category,adjudicated_typology
pubmed_29460009,PubMed,29460009.0,,10.1007/s00586-017-5433-8,The Global Spine Care Initiative: applying evidence-based guidelines on the non-invasive management of back and neck pain to low- and middle-income communities.,"PURPOSE: The purpose of this review was to develop recommendations for the management of spinal disorders in low-income communities, with a focus on non-invasive pharmacological and non-pharmacological therapies for non-specific low back and neck pain.
METHODS: We synthesized two evidence-based clinical practice guidelines for the management of low back and neck pain. Our recommendations considered benefits, harms, quality of evidence, and costs, with attention to feasibility in medically underserved areas and low- and middle-income countries.
RESULTS: Clinicians should provide education and reassurance, advise patients to remain active, and provide information about self-care options. For acute low back and neck pain without serious pathology, primary conservative treatment options are exercise, manual therapy, superficial heat, and nonsteroidal anti-inflammatory drugs (NSAIDs). For patients with chronic low back and neck pain without serious pathology, primary treatment options are exercise, yoga, cognitive behavioral therapies, acupuncture, biofeedback, progressive relaxation, massage, manual therapy, interdisciplinary rehabilitation, NSAIDs, acetaminophen, and antidepressants. For patients with spinal pain with radiculopathy, clinicians may consider exercise, spinal manipulation, or NSAIDs; use of other interventions requires extrapolation from evidence regarding effectiveness for non-radicular spinal pain. Clinicians should not offer treatments that are not effective, including benzodiazepines, botulinum toxin injection, systemic corticosteroids, cervical collar, electrical muscle stimulation, short-wave diathermy, transcutaneous electrical nerve stimulation, and traction.
CONCLUSION: Guidelines developed for high-income settings were adapted to inform a care pathway and model of care for medically underserved areas and low- and middle-income countries by considering factors such as costs and feasibility, in addition to benefits, harms, and the quality of underlying evidence. The selection of recommended conservative treatments must be finalized through discussion with the involved community and based on a biopsychosocial approach. Decision determinants for selecting recommended treatments include costs, availability of interventions, and cultural and patient preferences. These slides can be retrieved under Electronic Supplementary Material.",2018.0,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",Roger Chou | Pierre Côté | Kristi Randhawa | Paola Torres | Hainan Yu | Margareta Nordin | Eric L Hurwitz | Scott Haldeman | Christine Cedraschi,,"Journal Article | Research Support, Non-U.S. Gov't | Review",systematic review,"PURPOSE: The purpose of this review was to develop recommendations for the management of spinal disorders in low-income communities, with a focus on non-invasive pharmacological and non-pharmacological therapies for non-specific low back and neck pain.",clinical,llm_structured,chronic secondary musculoskeletal pain,yes,abstract only,intervention rationale,yes,yes,yes,yes,depression,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_31977935,PubMed,31977935.0,,10.1097/j.pain.0000000000001809,Physiotherapists' perceptions of learning and implementing a biopsychosocial intervention to treat musculoskeletal pain conditions: a systematic review and metasynthesis of qualitative studies.,"Clinical practice guidelines recommend a biopsychosocial approach for the management of musculoskeletal pain conditions, but physiotherapists have reported feeling inadequately trained and lacking in confidence to deal with psychosocial issues. Although a growing number of studies are exploring physiotherapists' perceptions of biopsychosocial training, the results have not been synthesized. Therefore, the aim of this systematic review and metasynthesis of qualitative studies was to explore physiotherapists' perceptions of learning and implementing a biopsychosocial intervention to treat musculoskeletal pain conditions. A search of the electronic databases: MEDLINE, EMBASE, CINAHL, ERIC, PsycInfo, SportDiscus, and Sociological abstracts identified eligible studies. We included full-text qualitative and mixed-methodology studies published in English, which investigated physiotherapists' perceptions of learning and implementing biopsychosocial interventions. Twelve studies involving 113 participants met the inclusion criteria, and a thematic synthesis was conducted. The quality of the included studies was appraised using the Clinical Appraisal Screening Program. Four main themes emerged from the data: changed understanding and practice, professional benefits, clinical challenges, and learning requirements. The results of this study indicate that although the physiotherapists reported a shift towards more biopsychosocial and person-centered approaches, the training interventions did not sufficiently help them feel confident in delivering all the aspects. Planning future implementation interventions and training physiotherapists through a biopsychosocial approach should focus on adequate training and individualized mentoring related to psychosocial factors, and discussion of role boundaries, patient expectations, and organizational factors such as time constraints and referral pathways.",2020.0,Pain,Riikka Holopainen | Phoebe Simpson | Arja Piirainen | Jaro Karppinen | Rob Schütze | Anne Smith | Peter O'Sullivan | Peter Kent,Finland,"Journal Article | Research Support, Non-U.S. Gov't | Systematic Review",systematic review,"aim of this systematic review and metasynthesis of qualitative studies was to explore physiotherapists' perceptions of learning and implementing a biopsychosocial intervention to treat musculoskeletal pain conditions. A search of the electronic databases: MEDLINE, EMBASE, CINAHL, ERIC, PsycInfo, SportDiscus, and Sociological abstracts identified eligible studies. We included full-text qualitative and mixed-methodology studies published in English, which investigated physiotherapists' perceptions of learning and implementing biopsychosocial interventions. Twelve studies involving 113 participants met the inclusion criteria, and a thematic synthesis was conducted. The quality of the included studies was appraised using the Clinical Appraisal Screening Program. Four main themes emerged from the data: changed understanding and practice, professional benefits, clinical challenges, and learning requirements. The results of this study indicate that although the physiotherapists reported a shift towards more biopsychosocial and person-centered approaches, the training interventions did not sufficiently help them feel confident in delivering all the aspects. Planning future implementation interventions and training physiotherapists through a biopsychosocial approach should focus on adequate training and individualized mentoring related to psychosocial factors, and discussion of role boundaries, patient expectations, and organizational factors such as time constraints and referral pathways.",clinical,llm_structured,chronic secondary musculoskeletal pain,yes,title and abstract,intervention rationale,yes,no,yes,no,,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_38137395,PubMed,38137395.0,PMC10740819,10.3390/biomedicines11123174,Aerobic Exercise and Neuropathic Pain: Insights from Animal Models and Implications for Human Therapy.,"This narrative review explores the complex relationship between aerobic exercise (AE) and neuropathic pain (NP), particularly focusing on peripheral neuropathies of mechanical origin. Pain, a multifaceted phenomenon, significantly impacts functionality and distress. The International Association for the Study of Pain's definition highlights pain's biopsychosocial nature, emphasizing the importance of patient articulation. Neuropathic pain, arising from various underlying processes, presents unique challenges in diagnosis and treatment. Our methodology involved a comprehensive literature search in the PubMed and SCOPUS databases, focusing on studies relating AE to NP, specifically in peripheral neuropathies caused by mechanical forces. The search yielded 28 articles and 1 book, primarily animal model studies, providing insights into the efficacy of AE in NP management. Results from animal models demonstrate that AE, particularly in forms like no-incline treadmill and swimming, effectively reduces mechanical allodynia and thermal hypersensitivity associated with NP. AE influences neurophysiological mechanisms underlying NP, modulating neurotrophins, cytokines, and glial cell activity. These findings suggest AE's potential in attenuating neurophysiological alterations in NP. However, human model studies are scarce, limiting the direct extrapolation of these findings to human neuropathic conditions. The few available studies indicate AE's potential benefits in peripheral NP, but a lack of specificity in these studies necessitates further research. In conclusion, while animal models show promising results regarding AE's role in mitigating NP symptoms and influencing underlying neurophysiological mechanisms, more human-centric research is required. This review underscores the need for targeted clinical trials to fully understand and harness AE's therapeutic potential in human neuropathic pain, especially of mechanical origin.",2023.0,Biomedicines,Jorge Ruimonte-Crespo | Gustavo Plaza-Manzano | María José Díaz-Arribas | Marcos José Navarro-Santana | José Javier López-Marcos | Raúl Fabero-Garrido | Tamara Seijas-Fernández | Juan Antonio Valera-Calero,Spain,Journal Article | Review,narrative or expert review,"This narrative review explores the complex relationship between aerobic exercise (AE) and neuropathic pain (NP), particularly focusing on peripheral neuropathies of mechanical origin.",clinical,llm_structured,chronic neuropathic pain,no,abstract only,rhetorical label,yes,yes,yes,no,stress,,missing_social | tokenistic_bps | vague_definition,pseudo-bps or partial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_32988440,PubMed,32988440.0,,10.1071/HC19117,Six things you need to know about low back pain.,"Low back pain (LBP) is the leading contributor to years lived with disability, and imposes an enormous burden on individuals and on health-care systems. General practitioners and physiotherapists are generally the front-line health professionals dealing with patients with LBP, and have a key role in minimising its effect. Here we review six key issues associated with LBP including its effects, diagnosis and management in primary care, and highlight the importance of the biopsychosocial model and matched care for patients with LBP.",2020.0,Journal of primary health care,G David Baxter | Cathy Chapple | Richard Ellis | Julia Hill | Lizhou Liu | Ramakrishnan Mani | Duncan Reid | Tim Stokes | Steve Tumilty,New Zealand,Journal Article | Review,narrative or expert review,"Low back pain (LBP) is the leading contributor to years lived with disability, and imposes an enormous burden on individuals and on health-care systems.",clinical,llm_structured,chronic secondary musculoskeletal pain,yes,abstract only,intervention rationale,no,no,yes,no,,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_22102156,PubMed,22102156.0,,10.1007/s11916-011-0228-9,Chronic daily headache in children and adolescents.,"Chronic daily headache (CDH) may be primary or secondary. Secondary causes can be suspected through ""red flags"" in the history and examination. With a prevalence of at least 1% and several associations, primary CDH is a common, often complex, chronic pain syndrome in children and adolescents. The intricate associations between stressors, psychiatric disorders (especially anxiety and depression), and CDH can be explained by ""the limbically augmented pain syndrome"" proposed by Rome and Rome. Disorders of sleep and other pain syndromes also may co-occur. For these reasons, a multiaxial classification is ideal. Many with primary CDH have features of both chronic migraine and chronic tension-type headache, contributing to confusion in subtyping. Primary CDH is often transformed from a primary episodic headache type, stressors being most responsible. Genetic factors also may facilitate chronification. Management should be biopsychosocial, family-centered, and often multidisciplinary, drugs being only one component. Treatment is still based on consensus, not evidence. Girls, migraineurs, and those with psychiatric comorbidity, medication overuse, and CDH onset before the age of 13 years and lasting for 2 years or longer, are at high risk for persistence; hence, such patients should be followed up into adult life. A classification for CDH should be included in the third edition of the International Classification of Headache Disorders.",2012.0,Current pain and headache reports,Shashi S Seshia,Canada,Journal Article | Review,narrative or expert review,Chronic daily headache (CDH) may be primary or secondary.,clinical,llm_structured,chronic secondary headache or orofacial pain,no,abstract only,intervention rationale,yes,yes,yes,no,depression | anxiety | stress,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_28752491,PubMed,28752491.0,PMC6335024,10.1007/s11926-017-0683-3,Predictors of Osteoarthritis Pain: the Importance of Resilience.,"PURPOSE OF REVIEW: Osteoarthritis (OA) is one of the most common and disabling forms of arthritis worldwide, with joint pain being a primary symptom. Given that clinical symptoms often show poor concordance with tissue damage in OA, processes other than joint remodeling likely play a role in the condition. Using the biopsychosocial model of pain as a guiding framework, the purpose of this review is to highlight the extra-articular mechanisms that contribute to pain and dysfunction in OA, with a specific focus on resilience.
RECENT FINDINGS: Whereas previous research has mostly focused on risk factors for worsening of OA pain, recently emerging evidence places greater emphasis on the identification of protective mechanisms that enhance pain adaptation and palliate the negative effects of joint pain. In view of this new and important research, more emphasis should be placed on endogenous pain modulation and, in particular, pain attenuation. The result of such work could serve as a basis for optimizing treatment in the OA population.",2017.0,Current rheumatology reports,Emily J Bartley | Shreela Palit | Roland Staud,,Journal Article | Review,systematic review,"PURPOSE OF REVIEW: Osteoarthritis (OA) is one of the most common and disabling forms of arthritis worldwide, with joint pain being a primary symptom.",conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,abstract only,explanatory framework,yes,yes,yes,no,resilience,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_32871946,PubMed,32871946.0,PMC7458239,10.1097/MD.0000000000021969,Effectiveness of walking versus mind-body therapies in chronic low back pain: A systematic review and meta-analysis of recent randomized controlled trials.,"PURPOSE: Walking and mind-body therapies (MBTs) are commonly recommended to relieve pain and improve function in patients with chronic low back pain (CLBP). The purpose of this study was to compare the effectiveness of walking and MBTs in CLBP.
METHODS: We included randomized controlled trials (RCTs) comparing walking or MBTs to any other intervention or control in adults with CLBP. Studies were identified through PubMed, Cochrane Library, PsycINFO, Scopus, and ScienceDirect databases. The research was limited to studies published in English and French between January 2008 and December 2018. Two reviewers independently selected the studies, extracted data, and assessed studies quality using the Physiotherapy Evidence Database (PEDro) scale. Statistical analyses were performed under a random-effects model. We analyzed pain and activity limitation, with the calculation of standardized mean differences and 95% confidence intervals for the different treatment effects.
RESULTS: Thirty one randomized controlled trials involving 3193 participants were analyzed. Walking was as effective as control interventions in the short-term and slightly superior in the intermediate term with respect to pain (Standardized mean differences (SMD)  = -0.34; 95% CI, -0.65 to -0.03; P = .03) and activity limitation (SMD = -0.30; 95% CI, -0.50 to -0.10; P = .003). In contrast, yoga was more effective than control interventions in the short term in terms of pain (SMD = -1.47; 95% CI, -2.26 to -0.68; P = .0003) and activity limitation (SMD = -1.17; 95% CI, -1.80 to -0.55; P = .0002). Yoga was no longer superior to the control interventions for pain at the 6-month follow-up.
CONCLUSION: MBTs, especially yoga, seem to be more effective in the short term, and walking seems to be more effective in the intermediate term, for the relief of pain and activity limitation in patients with CLBP. A combination of walking and MBTs fits the biopsychosocial model and might be valuable therapy for CLBP throughout follow-up due to combined effects.",2020.0,Medicine,Ildephonse Nduwimana | Félix Nindorera | Jean Louis Thonnard | Oyene Kossi,Belgium,Comparative Study | Journal Article | Meta-Analysis | Systematic Review,meta-analysis,PURPOSE: Walking and mind-body therapies (MBTs) are commonly recommended to relieve pain and improve function in patients with chronic low back pain (CLBP).,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,abstract only,intervention rationale,no,no,yes,no,,,missing_biology,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_23314014,PubMed,23314014.0,,10.1097/SPC.0b013e32835d7ed2,Evidence-based approach to manage persistent wound-related pain.,"PURPOSE OF REVIEW: Pain is a significant concern in people with chronic wounds. A systematized approach is recommended for the management of wound-associated pain with the objectives to address pain relief, increase function, and restore overall quality of life.
RECENT FINDINGS: Combinations of pharmacological agents are often recommended based on varying degree of pain severity, coexisting nociceptive and neuropathic pain, and chronic inflammation related to wound-associated pain. Topical agents including morphine, tricyclic antidepressants (e.g., amitriptyline), nonsteroidal anti-inflammatory drugs (NSAIDs), capsaicin, ketamine, and lidocaine/prilocaine provide pain relief with minimal side effects. Mindful dressing selection to minimize trauma, handle excess fluid, and prevent periwound skin damage has been shown to reduce persistent wound pain. To avoid nocebo hyperalgesia, it is important to address emotions, anticipation or negative expectation of discomfort.
SUMMARY: Pain is a complex biopsychosocial phenomenon that requires multiple pharmacological and nonpharmacological management approach.",2013.0,Current opinion in supportive and palliative care,Kevin Y Woo | Laura K Abbott | Lawrence Librach,Canada,Journal Article | Review,narrative or expert review,PURPOSE OF REVIEW: Pain is a significant concern in people with chronic wounds.,clinical,llm_structured,mixed or unspecified chronic pain,no,abstract only,intervention rationale,yes,yes,yes,no,depression,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_40418249,PubMed,40418249.0,PMC12202764,10.1093/joccuh/uiaf028,Biopsychosocial and physical factors associated with firefighter musculoskeletal disorders: a systematic review.,"OBJECTIVES: Firefighters are frequently exposed to psychologically and physically stressful experiences. This volatile occupational environment is thought to contribute to the risk of firefighter musculoskeletal disorders (MSDs). However, investigations of firefighter MSDs are limited, and to our knowledge, have not been collectively examined. The purpose of this novel systematic review was to systematically identify, critically appraise, and synthesize evidence regarding the relationship between MSDs and personal, physical, and psychosocial factors among career firefighters to guide future study directions.
METHODS: Five electronic databases (MEDLINE, CINAHL, SPORTDiscus, APA PsychInfo, PubMed) were searched from inception to December 12, 2024, which yielded 741 results. This review followed PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) 2020 guidelines and used the AXIS (Assess the Quality of Cross-Sectional Studies) tool.
RESULTS: The final review included 20 cross-sectional studies (AXIS scores 12-18). Of those, 19 examined physical factor(s), and 16 examined psychosocial factor(s). The overall evidence suggests a positive relationship between firefighter MSD reports and body mass index (BMI), occupational stress, and depression. A negative relationship to physical activity engagement was consistently observed.
CONCLUSIONS: Body mass index , physical activity, and occupational stress were the most consistently examined factors related to firefighter MSDs. Odds of MSD occurrences were positively related to occupational stress and BMI, and negatively related to physical activity engagement; therefore, future investigations can focus primarily on these factors in relation to MSD risk. The establishment of reliable and culturally appropriate MSD report forms among firefighters is warranted as data collected were heterogeneous and not directly comparable. Finally, this report suggests that prospective examinations of both physical and psychosocial factors related to firefighter MSDs are needed.",2025.0,Journal of occupational health,Jennifer Tinsley Kubala | Rachel Kleis | Johanna Hoch,United States,Journal Article | Systematic Review,systematic review,"OBJECTIVES: Firefighters are frequently exposed to psychologically and physically stressful experiences. This volatile occupational environment is thought to contribute to the risk of firefighter musculoskeletal disorders (MSDs). However, investigations of firefighter MSDs are limited, and to our knowledge, have not been collectively examined. The purpose of this novel systematic review was to systematically identify, critically appraise, and synthesize evidence regarding the relationship between MSDs and personal, physical, and psychosocial factors among career firefighters to guide future study directions.",epidemiological,llm_structured,chronic secondary musculoskeletal pain,yes,title only,organizing principle,yes,yes,yes,no,depression | stress,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_12421777,PubMed,12421777.0,PMC1756295,10.1136/emj.19.6.526,Prevention of chronic pain after whiplash.,"The acute whiplash injury is a significant health burden for patients and the healthcare system. Traditional approaches to treatment fail to resolve this ever growing medicolegal and social problem. A new biopsychosocial model of whiplash disorder encourages new ways of treating and preventing of the chronic disability. This biopsychosocial model takes into account the mechanism by which acute pain becomes chronic pain, and how this can be prevented. Specific education and treatments encourage a behaviour after whiplash injury that is conducive to more rapid recovery, and provides the whiplash patient with insight into the mediators of chronic pain. The article describes in practical terms how to use education, reassurance, a more judicious use of therapy, and exercise to achieve this goal. Practical guidelines are provided on educating the patient about other symptoms that may cause concern.",2002.0,Emergency medicine journal : EMJ,R Ferrari,Canada,Journal Article | Review,narrative or expert review,The acute whiplash injury is a significant health burden for patients and the healthcare system.,clinical,llm_structured,chronic postsurgical or posttraumatic pain,unclear,abstract only,intervention rationale,yes,no,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_22814445,PubMed,22814445.0,,10.1016/j.ptsp.2011.12.001,A neuroscience approach to managing athletes with low back pain.,"Low back pain (LBP) is a common complaint within the athletic population and is commonly managed through a biomedical approach. The injured or damaged structure causing the LBP is identified and treated, and complete recovery from the episode is expected. Clinical experience shows us that often, athletes with LBP will not recover from their episode and may continue their sports participation despite persistent pain, or they may limit participation. Recent neuroscience research into the biology of pain suggests that clinicians involved in the management of athletes with LBP should embrace a biopsychosocial approach by engaging the brain and nervous system. This manuscript provides an overview of such a biopsychosocial approach, and presents information on the neurobiology of the athlete's pain experience.",2012.0,Physical therapy in sport : official journal of the Association of Chartered Physiotherapists in Sports Medicine,Emilio J Puentedura | Adriaan Louw,,Journal Article | Review,systematic review,Low back pain (LBP) is a common complaint within the athletic population and is commonly managed through a biomedical approach.,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,abstract only,intervention rationale,yes,no,yes,no,pain experience,neuroscience,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_38470686,PubMed,38470686.0,PMC10931313,10.3390/healthcare12050575,Etiologic Factors of Temporomandibular Disorders: A Systematic Review of Literature Containing Diagnostic Criteria for Temporomandibular Disorders (DC/TMD) and Research Diagnostic Criteria for Temporomandibular Disorders (RDC/TMD) from 2018 to 2022.,"This study aims to conduct a systematic analysis of literature published between 1 January 2018 and 1 September 2022, exploring factors influencing the progression or development of temporomandibular disorders (TMD), diagnosed using the Diagnostic Criteria for Temporomandibular Disorders (DC/TMD) or Research Diagnostic Criteria for Temporomandibular Disorders (RDC/TMD). Three electronic databases were reviewed to identify papers that examined TMD factors using DC/TMD or RDC/TMD. Inclusion criteria encompassed original research published in English between 1 January 2018 and 1 October 2022, online, and complete DC/TMD or RDC/TMD studies on human participants aged 18 or older. Two authors independently assessed the risk of bias using The Joanna Briggs Institute (JBI) Analytical cross-sectional studies' Critical Appraisal Tool. Of 1478 articles, 11 were included. The studies revealed strong associations between TMD and factors such as female, poor sleep quality, depression, oral parafunction, anxiety, somatization, and anatomical features. However, variables such as education, living conditions, socioeconomic status, marital status, chronic pain, and stress did not exhibit statistically significant correlations. Based on the obtained data, it can be concluded that the causes of TMD are largely related to psychological factors, which supports the biopsychosocial theory of the disorder.",2024.0,"Healthcare (Basel, Switzerland)",Joanna Warzocha | Joanna Gadomska-Krasny | Joanna Mrowiec,Poland,Journal Article | Review,systematic review,"aims to conduct a systematic analysis of literature published between 1 January 2018 and 1 September 2022, exploring factors influencing the progression or development of temporomandibular disorders (TMD), diagnosed using the Diagnostic Criteria for Temporomandibular Disorders (DC/TMD) or Research Diagnostic Criteria for Temporomandibular Disorders (RDC/TMD). Three electronic databases were reviewed to identify papers that examined TMD factors using DC/TMD or RDC/TMD. Inclusion criteria encompassed original research published in English between 1 January 2018 and 1 October 2022, online, and complete DC/TMD or RDC/TMD studies on human participants aged 18 or older. Two authors independently assessed the risk of bias using The Joanna Briggs Institute (JBI) Analytical cross-sectional studies' Critical Appraisal Tool. Of 1478 articles, 11 were included. The studies revealed strong associations between TMD and factors such as female, poor sleep quality, depression, oral parafunction, anxiety, somatization, and anatomical features. However, variables such as education, living conditions, socioeconomic status, marital status, chronic pain, and stress did not exhibit statistically significant correlations. Based on the obtained data, it can be concluded that the causes of TMD are largely related to psychological factors, which supports the biopsychosocial theory of the disorder.",epidemiological,llm_structured,chronic secondary headache or orofacial pain,unclear,abstract only,rhetorical label,no,yes,yes,yes,depression | anxiety | stress,,tokenistic_bps | vague_definition | missing_biology,rhetorical label signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
