record_id,pmid,pmcid,doi,title,journal,year,icd11_pain_category,musculoskeletal_flag,review_type,provisional_typology,conceptual_problem_flags,psychological_concepts_detected,theoretical_frameworks_detected,stage3_priority,coding_rationale,fulltext_status,retrieval_source,fulltext_word_count,fulltext_checked_utc,manual_retrieval_needed,manual_relevance_priority,manual_relevance_flags,osf_manual_adjudication_required,pubmed_url,cached_xml_path,cached_text_path
pubmed_35645164,35645164.0,,10.1080/09593985.2022.2080130,The biopsychosocial model is lost in translation: from misrepresentation to an enactive modernization.,Physiotherapy theory and practice,2023.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,vague_definition | tokenistic_bps,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/35645164.0/,,
pubmed_35990762,35990762.0,PMC9345071,10.1136/bmjsem-2022-001326,Biopsychosocial approach to tendinopathy.,BMJ open sport & exercise medicine,2022.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,none,fear-avoidance | self-efficacy,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,3825,2026-04-07T20:02:14+00:00,no,low,,yes,https://pubmed.ncbi.nlm.nih.gov/35990762.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC9345071.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC9345071.txt
pubmed_36278735,36278735.0,PMC9590060,10.3390/jfmk7040074,Pain Education in the Management of Patients with Chronic Low Back Pain: A Systematic Review.,Journal of functional morphology and kinesiology,2022.0,chronic secondary musculoskeletal pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,4680,2026-04-07T20:02:14+00:00,no,low,,yes,https://pubmed.ncbi.nlm.nih.gov/36278735.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC9590060.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC9590060.txt
pubmed_33682560,33682560.0,,10.1080/14737175.2021.1900734,An updated brief overview on post-traumatic headache and a systematic review of the non-pharmacological interventions for its management.,Expert review of neurotherapeutics,2021.0,chronic secondary headache or orofacial pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/33682560.0/,,
pubmed_34793635,34793635.0,,,"Religious Beliefs and Attitudes in Relation to Pain, Pain-Related Beliefs, Function, and Coping in Chronic Musculoskeletal Pain: A Systematic Review.",Pain physician,2021.0,chronic secondary musculoskeletal pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,coping | acceptance | self-efficacy | cognitions | emotions,biopsychosocial-spiritual model,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/34793635.0/,,
pubmed_32871946,32871946.0,PMC7458239,10.1097/MD.0000000000021969,Effectiveness of walking versus mind-body therapies in chronic low back pain: A systematic review and meta-analysis of recent randomized controlled trials.,Medicine,2020.0,chronic secondary musculoskeletal pain,yes,meta-analysis,potential integrative signal,missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,9726,2026-04-07T20:02:14+00:00,no,low,,yes,https://pubmed.ncbi.nlm.nih.gov/32871946.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC7458239.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC7458239.txt
pubmed_31977935,31977935.0,,10.1097/j.pain.0000000000001809,Physiotherapists' perceptions of learning and implementing a biopsychosocial intervention to treat musculoskeletal pain conditions: a systematic review and metasynthesis of qualitative studies.,Pain,2020.0,chronic secondary musculoskeletal pain,yes,systematic review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/31977935.0/,,
pubmed_32988440,32988440.0,,10.1071/HC19117,Six things you need to know about low back pain.,Journal of primary health care,2020.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence | missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/32988440.0/,,
pubmed_32010899,32010899.0,PMC6974394,10.5606/ArchRheumatol.2019.6801,Group Psychotherapy With Fibromyalgia Patients: A Systematic Review.,Archives of rheumatology,2019.0,chronic primary pain,yes,systematic review,pseudo-bps or partial signal,parallel_listing_without_integration | missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_low_content_manual_check,stage2_existing_pmcid,8,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/32010899.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6974394.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6974394.txt
pubmed_30594766,30594766.0,,10.1016/j.clinbiomech.2018.12.010,Low back pain: Moving toward mechanism-based management.,"Clinical biomechanics (Bristol, Avon)",2019.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence,,mechanistic approach,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/30594766.0/,,
pubmed_31466408,31466408.0,PMC6780711,10.3390/jcm8091334,The Evolving Case Supporting Individualised Physiotherapy for Low Back Pain.,Journal of clinical medicine,2019.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,11213,2026-04-07T20:02:14+00:00,no,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/31466408.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6780711.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6780711.txt
pubmed_30893103,30893103.0,,10.1097/SPC.0000000000000420,Where has the 'bio' in bio-psycho-social gone?,Current opinion in supportive and palliative care,2019.0,chronic postsurgical or posttraumatic pain,yes,narrative or expert review,pseudo-bps or partial signal,parallel_listing_without_integration,catastrophizing,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/30893103.0/,,
pubmed_29460009,29460009.0,,10.1007/s00586-017-5433-8,The Global Spine Care Initiative: applying evidence-based guidelines on the non-invasive management of back and neck pain to low- and middle-income communities.,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",2018.0,chronic secondary musculoskeletal pain,yes,systematic review,potential integrative signal,none,depression,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/29460009.0/,,
pubmed_28359011,28359011.0,,10.5694/mja16.00828,Diagnostic triage for low back pain: a practical approach for primary care.,The Medical journal of Australia,2017.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,pseudo-bps or partial signal,vague_definition | parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/28359011.0/,,
pubmed_28371175,28371175.0,,10.1002/msc.1191,Exercise for chronic musculoskeletal pain: A biopsychosocial approach.,Musculoskeletal care,2017.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,none,catastrophizing | anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/28371175.0/,,
pubmed_28752491,28752491.0,PMC6335024,10.1007/s11926-017-0683-3,Predictors of Osteoarthritis Pain: the Importance of Resilience.,Current rheumatology reports,2017.0,chronic secondary musculoskeletal pain,yes,systematic review,potential integrative signal,none,resilience,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,8095,2026-04-07T20:02:14+00:00,no,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/28752491.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6335024.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6335024.txt
pubmed_26148424,26148424.0,,10.1111/ajd.12365,Current concepts in vulvodynia with a focus on pathogenesis and pain mechanisms.,The Australasian journal of dermatology,2016.0,chronic primary pain,yes,narrative or expert review,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,depression | anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26148424.0/,,
pubmed_25953594,25953594.0,,10.2522/ptj.20140575,Addressing Neuroplastic Changes in Distributed Areas of the Nervous System Associated With Chronic Musculoskeletal Disorders.,Physical therapy,2015.0,chronic secondary musculoskeletal pain,yes,systematic review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/25953594.0/,,
pubmed_26600874,26600874.0,PMC4643870,10.1177/1756285615605699,An update on the management of post-traumatic headache.,Therapeutic advances in neurological disorders,2015.0,chronic postsurgical or posttraumatic pain,yes,narrative or expert review,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_low_content_manual_check,stage2_existing_pmcid,8,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26600874.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4643870.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4643870.txt
pubmed_24405725,24405725.0,PMC3907141,10.1186/1471-2474-15-10,"Are depression, anxiety and poor mental health risk factors for knee pain? A systematic review.",BMC musculoskeletal disorders,2014.0,chronic secondary musculoskeletal pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,depression | anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,13926,2026-04-07T20:02:14+00:00,no,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/24405725.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC3907141.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC3907141.txt
pubmed_24966693,24966693.0,PMC4062547,10.2147/JPR.S59144,Chronic musculoskeletal pain: review of mechanisms and biochemical biomarkers as assessed by the microdialysis technique.,Journal of pain research,2014.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,multifactorial signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,12032,2026-04-07T20:02:14+00:00,no,low,,yes,https://pubmed.ncbi.nlm.nih.gov/24966693.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4062547.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4062547.txt
pubmed_22435173,22435173.0,,10.1179/crn.2012.003,"A critical review of Dr. Charles S. Greene's article titled ""Managing the Care of Patients with Temporomandibular Disorders: a new Guideline for Care"" and a revision of the American Association for Dental Research's 1996 policy statement on temporomandibular disorders, approved by the AADR Council in March 2010, published in the Journal of the American Dental Association September 2010.",Cranio : the journal of craniomandibular practice,2012.0,chronic secondary headache or orofacial pain,yes,meta-analysis,rhetorical label signal,tokenistic_bps | vague_definition,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/22435173.0/,,
pubmed_22814445,22814445.0,,10.1016/j.ptsp.2011.12.001,A neuroscience approach to managing athletes with low back pain.,Physical therapy in sport : official journal of the Association of Chartered Physiotherapists in Sports Medicine,2012.0,chronic secondary musculoskeletal pain,yes,systematic review,potential integrative signal,none,pain experience,neuroscience,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/22814445.0/,,
pubmed_23218435,23218435.0,,10.1016/j.berh.2012.08.004,Improving work participation for adults with musculoskeletal conditions.,Best practice & research. Clinical rheumatology,2012.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/23218435.0/,,
pubmed_21373784,21373784.0,,10.1007/s00296-011-1839-5,Joint hypermobility syndrome: problems that require psychological intervention.,Rheumatology international,2011.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,depression | anxiety | stress,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/21373784.0/,,
pubmed_19160209,19160209.0,PMC10734264,10.1002/14651858.CD002269.pub2,WITHDRAWN: Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.,The Cochrane database of systematic reviews,2009.0,chronic secondary musculoskeletal pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_low_content_manual_check,stage2_existing_pmcid,12,2026-04-07T20:02:14+00:00,yes,high,withdrawn_or_retracted_signal | chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/19160209.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10734264.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10734264.txt
pubmed_17350550,17350550.0,,10.1016/j.berh.2006.10.001,Management of musculoskeletal pain.,Best practice & research. Clinical rheumatology,2007.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,multifactorial signal,none,depression,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/17350550.0/,,
pubmed_17420400,17420400.0,,10.1212/01.wnl.0000259085.61898.9e,The impact of neuropathic pain on health-related quality of life: review and implications.,Neurology,2007.0,chronic secondary musculoskeletal pain,yes,meta-analysis,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/17420400.0/,,
pubmed_17149465,17149465.0,,,Back injuries--getting injured workers back to work.,Australian family physician,2006.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/17149465.0/,,
pubmed_16968689,16968689.0,,10.1093/bmb/ldl008,Preventing incapacity in people with musculoskeletal disorders.,British medical bulletin,2006.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,high,pain_focus_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/16968689.0/,,
pubmed_12948346,12948346.0,,10.1016/s1047-9651(03)00034-2,Psychosocial therapies for neck pain.,Physical medicine and rehabilitation clinics of North America,2003.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,missing_biology,stress | cognitive-behavioral therapy | pain-related thoughts | emotions,medical model,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/12948346.0/,,
pubmed_12720511,12720511.0,,10.5694/j.1326-5377.2003.tb05287.x,The management of persistent pain.,The Medical journal of Australia,2003.0,mixed or unspecified chronic pain,yes,narrative or expert review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/12720511.0/,,
pubmed_11762878,11762878.0,,10.1080/09638280110061744,Determinants of chronic disability related to low back pain: towards an integrative biopsychosocial model.,Disability and rehabilitation,2001.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,none,coping | stress,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/11762878.0/,,
pubmed_10908542,10908542.0,,10.1002/14651858.CD002269,Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.,The Cochrane database of systematic reviews,2000.0,chronic secondary musculoskeletal pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/10908542.0/,,
pubmed_11092802,11092802.0,,10.1053/berh.2000.0113,The biopsychosocial model--a tool for rheumatologists.,Bailliere's best practice & research. Clinical rheumatology,2000.0,mixed or unspecified chronic pain,yes,narrative or expert review,potential integrative signal,missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,high,pain_focus_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/11092802.0/,,
pubmed_8940956,8940956.0,,,Chronic pelvic pain.,American family physician,1996.0,chronic secondary visceral pain,yes,narrative or expert review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/8940956.0/,,
pubmed_8842824,8842824.0,,,The biopsychosocial disease consequence model in rehabilitation: model development in the Finnish 'work hardening' programme for chronic pain.,International journal of rehabilitation research. Internationale Zeitschrift fur Rehabilitationsforschung. Revue internationale de recherches de readaptation,1996.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,missing_biology,functioning,biopsychosocial disease consequence model,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/8842824.0/,,
pubmed_7866373,7866373.0,,10.1007/BF00433377,Pain and suffering: what is the unit?,"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",1994.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,multifactorial signal,missing_biology,anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/7866373.0/,,
pubmed_1477890,1477890.0,,10.1016/s0950-3579(05)80126-8,Biopsychosocial analysis of low back pain.,Bailliere's clinical rheumatology,1992.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,pseudo-bps or partial signal,vague_definition | parallel_listing_without_integration | mechanistic_absence | missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/1477890.0/,,
