record_id,year,review_type,Central Sensitization and Neuroplasticity,Musculoskeletal and Structural Pathology,Pharmacological and Biomedical Treatment,Sleep Disruption and Circadian Dysregulation,Immune Inflammatory and Neuroinflammatory Processes,Genetic Epigenetic and Biological Vulnerability,Neuroimaging Brain Structure and Function,Nociceptive Transmission and Pain Pathways,Physical Function Mobility and Deconditioning,Metabolic Nutritional and Hormonal Factors,Catastrophizing and Negative Cognitive Appraisal,Fear Avoidance and Pain Related Fear,Depression Emotional Distress and Affect,Anxiety and Psychological Reactivity,Self Efficacy Control Beliefs and Perceived Mastery,Acceptance Psychological Flexibility and Mindfulness,Pain Coping Strategies and Adjustment,Attention Vigilance and Pain Processing,Illness Beliefs Pain Representations and Meaning,Cognitive Behavioral and Psychotherapeutic Approaches,Third Wave Therapies ACT and Contextual Approaches,Resilience Positive Psychology and Post Traumatic Growth,Identity Self Concept and Chronic Pain Biography,Trauma Adverse Childhood and Life Events,Personality Psychological Traits and Individual Differences,Cognitive Function Executive Processes and Brain Health,Motivational Processes Goal Pursuit and Engagement,Healthcare Seeking Treatment Adherence and Engagement,Emotional Regulation and Pain Affect Processing,Mental Health Comorbidity and Psychological Wellbeing,Social Support Network and Interpersonal Resources,Work Disability Occupational Function and Productivity,Family Caregiver and Household Dynamics,Socioeconomic Status and Health Inequity,Healthcare Access Navigation and System Factors,Cultural Ethnic and Demographic Context,Community Participation and Social Role Functioning,Legal Compensation and Medicolegal Systems,Health Literacy Education and Patient Empowerment,Stigma Social Isolation and Exclusion,Return to Work Vocational Rehabilitation and Employment,Social Determinants of Pain and Environment
pubmed_22102156,2012.0,narrative or expert review,0.035072662,0.034919906,0.03549348,0.036208723,0.034523223,0.03490382,0.034580935,0.032735165,0.034008477,0.036053598,0.017293477,0.017110534,0.017525578,0.017637797,0.01587118,0.016364343,0.017342295,0.017314497,0.016440753,0.017889414,0.0168529,0.016526137,0.016895859,0.018038131,0.0171275,0.018167578,0.016434677,0.017655918,0.016978659,0.017732764,0.024381006,0.026276862,0.027388334,0.02527008,0.027134577,0.027027993,0.025262885,0.025257377,0.024883118,0.025582075,0.02393019,0.025805527
pubmed_36527589,2023.0,narrative or expert review,0.033721365,0.03336248,0.035303365,0.032614425,0.03416865,0.033744074,0.032943327,0.032373454,0.03263181,0.034137055,0.016509512,0.016229244,0.016605541,0.016189774,0.015778366,0.016343808,0.017168522,0.017206127,0.017061615,0.017685425,0.017160622,0.016923161,0.01762029,0.016734695,0.017146148,0.016966756,0.016662037,0.017385151,0.017379427,0.017443815,0.026407778,0.025895294,0.026451252,0.02877368,0.028079163,0.02949281,0.026854169,0.027431313,0.027145239,0.027253496,0.02459351,0.028422318
pubmed_28752491,2017.0,systematic review,0.0338986,0.033597473,0.0330559,0.032072846,0.033234715,0.034484636,0.031830795,0.032306187,0.033426043,0.03409277,0.017038869,0.017279485,0.017027907,0.017792221,0.016838346,0.017353656,0.017800253,0.017639834,0.017108135,0.017471436,0.017331941,0.019190032,0.017097395,0.017188612,0.017911978,0.017322458,0.017709048,0.017441988,0.017925154,0.017531227,0.026715064,0.026871193,0.026426226,0.026128232,0.026783181,0.027073495,0.026717804,0.025753671,0.026048886,0.026050335,0.025310215,0.02812168
pubmed_33563380,2021.0,narrative or expert review,0.03734839,0.03582398,0.0387182,0.033111893,0.037411336,0.033631235,0.036973134,0.037293367,0.033608653,0.035979815,0.015427835,0.0163169,0.015767481,0.016385246,0.015370049,0.015951727,0.017010527,0.017409151,0.015952978,0.017912468,0.017468857,0.015922321,0.015839852,0.016237773,0.016151808,0.016784856,0.01684249,0.016698925,0.016767355,0.015981395,0.02630043,0.025250293,0.024665099,0.025260987,0.027051214,0.026848596,0.025614804,0.027907558,0.025392924,0.025533415,0.025513604,0.026561031
pubmed_17350550,2007.0,narrative or expert review,0.03465102,0.037624642,0.03810418,0.032922395,0.034161255,0.033564087,0.03393005,0.033427708,0.03516268,0.036051966,0.016504647,0.01691979,0.016466042,0.016613904,0.016075453,0.017081317,0.017498177,0.017188435,0.01699172,0.018494792,0.017708208,0.016436303,0.016749676,0.016154256,0.016720712,0.01723569,0.01705732,0.017609784,0.016949339,0.017644422,0.02508708,0.026011435,0.025431799,0.025067253,0.026930625,0.02660262,0.02589415,0.026957288,0.025240313,0.025735566,0.024586687,0.026755178
pubmed_23218435,2012.0,narrative or expert review,0.032709178,0.03632112,0.033613596,0.032063756,0.03376228,0.032016866,0.031880986,0.029933024,0.035325784,0.033873394,0.015002351,0.015216241,0.015439883,0.015582068,0.0153841665,0.01626991,0.015893897,0.016076628,0.015684197,0.016390821,0.016463816,0.016278094,0.015258468,0.015573433,0.01545256,0.016359253,0.016484123,0.016801285,0.015683426,0.01700539,0.028070323,0.032230407,0.028153285,0.028690735,0.02919078,0.028519887,0.030198757,0.02945337,0.028050307,0.028159244,0.030801103,0.02868179
pubmed_26096090,2014.0,narrative or expert review,0.035019003,0.03523577,0.03573572,0.032862104,0.03418489,0.033247292,0.033713486,0.033952225,0.033511586,0.034337908,0.017202,0.017129153,0.017284567,0.017063621,0.016103335,0.016892532,0.017887982,0.018252725,0.018029915,0.018331086,0.017630696,0.016738512,0.018117046,0.017076151,0.017505588,0.017560586,0.01712121,0.018216755,0.017899038,0.017657513,0.024488254,0.025638798,0.025452629,0.024812946,0.026630975,0.026689956,0.025693092,0.026531106,0.025316594,0.025916984,0.024483591,0.026845045
pubmed_41271285,2026.0,narrative or expert review,0.03363142,0.03330635,0.034031443,0.031963628,0.0330465,0.033072736,0.032021962,0.032893404,0.03357518,0.033457365,0.016896952,0.017137012,0.016932843,0.016579675,0.016483165,0.017357588,0.018080922,0.017836582,0.017299784,0.018106325,0.01781672,0.017344028,0.017639836,0.017190257,0.01714249,0.017342916,0.017362662,0.017521044,0.01787416,0.01745505,0.026241679,0.025998235,0.02996433,0.025803786,0.027320797,0.027779859,0.027076777,0.027006568,0.026364274,0.025805011,0.024638824,0.027599864
pubmed_30594766,2019.0,narrative or expert review,0.03508617,0.036336824,0.036493387,0.03299393,0.034409497,0.034549817,0.03416473,0.034181073,0.03516518,0.036119375,0.016010575,0.016473457,0.016013673,0.016335325,0.016226513,0.017153684,0.016959306,0.01705477,0.016843548,0.017815074,0.017225204,0.016385574,0.016123623,0.016121402,0.016278876,0.017179279,0.017574731,0.01746066,0.016583817,0.016980926,0.025107464,0.02627033,0.026439672,0.026018366,0.02794004,0.02633024,0.025982933,0.027274054,0.02656764,0.025428802,0.025414355,0.026926104
pubmed_29729787,2018.0,narrative or expert review,0.035008084,0.03532998,0.0355862,0.03319595,0.03434663,0.033435684,0.03317993,0.033784166,0.034796186,0.034137145,0.015881736,0.016625576,0.01641224,0.016170226,0.015721275,0.01593328,0.01751041,0.016655676,0.017025849,0.017374113,0.016423969,0.015813997,0.017041162,0.016654715,0.01642787,0.016403398,0.016488602,0.017397946,0.016913952,0.016724003,0.026512057,0.026630154,0.027082209,0.027340269,0.029137569,0.027455652,0.027402079,0.027692113,0.026930718,0.026952537,0.024387656,0.028076963
WOS:000453643300005,,scoping or mapping review,0.032793526,0.034124963,0.033771466,0.031507798,0.032826222,0.033238795,0.03275773,0.031143164,0.03401414,0.034922168,0.016295359,0.015712438,0.016451627,0.016467303,0.015414846,0.016490282,0.01687077,0.016887384,0.016170789,0.01701768,0.016693572,0.016767517,0.01623424,0.016290186,0.016642993,0.016810725,0.016780935,0.016961975,0.016366089,0.01747328,0.028247634,0.028729757,0.02698843,0.027985873,0.028916016,0.028129987,0.028495137,0.027803458,0.02737555,0.027636643,0.027969396,0.029822083
pubmed_27344405,2016.0,narrative or expert review,0.035296075,0.033363745,0.035707314,0.033339698,0.034527954,0.03460397,0.03472901,0.03362508,0.032252476,0.03555466,0.016574401,0.017191187,0.017827518,0.0176407,0.015768014,0.016910754,0.017333586,0.017786535,0.016948327,0.018633597,0.017200783,0.017066462,0.016551998,0.016965963,0.017292764,0.017938057,0.017040899,0.017669706,0.017713198,0.019145552,0.025690123,0.025209717,0.025801498,0.025594069,0.026316715,0.026798759,0.025599113,0.025892213,0.025527216,0.025622029,0.024119278,0.02762929
pubmed_26614718,2016.0,narrative or expert review,0.03410332,0.03448373,0.03612501,0.032884233,0.033191122,0.03297767,0.032969348,0.032282423,0.033802833,0.03448031,0.016673336,0.016705599,0.01705573,0.016501492,0.0158975,0.016982166,0.017951068,0.01763921,0.01714858,0.019113094,0.018132161,0.016784413,0.017802434,0.016696855,0.01687295,0.017179852,0.017103897,0.01834894,0.01731556,0.017695174,0.025491064,0.025967406,0.026299603,0.026117856,0.028130392,0.027558725,0.026570411,0.026769098,0.026587099,0.025663767,0.024362905,0.027581671
pubmed_26614715,2016.0,narrative or expert review,0.036399033,0.035120428,0.03656186,0.032718815,0.03452024,0.034203317,0.033993453,0.035532564,0.03379935,0.03565094,0.017555667,0.017321356,0.016848853,0.017039401,0.016406778,0.01674227,0.017687563,0.018164339,0.017154817,0.018545205,0.01753015,0.016589565,0.017437283,0.01724154,0.01736674,0.017623292,0.017106637,0.0175726,0.017484281,0.017281689,0.024455378,0.025564756,0.025453394,0.024394209,0.026971601,0.026464023,0.0252722,0.026127718,0.025171299,0.02469959,0.023928618,0.026197193
pubmed_19289225,2009.0,systematic review,0.034760296,0.03453882,0.03902887,0.03418572,0.035072967,0.03436072,0.035605166,0.03286183,0.03366352,0.03602211,0.016749661,0.016896915,0.017032735,0.017204084,0.017093422,0.017719101,0.017472723,0.017507726,0.017051194,0.0194179,0.017754545,0.017029613,0.016498804,0.016608331,0.016732384,0.018278616,0.017918829,0.018596476,0.017220512,0.017916447,0.024525033,0.025172116,0.025645234,0.024414986,0.02586873,0.025662098,0.024833001,0.025483035,0.025911976,0.024230827,0.024083111,0.025369853
pubmed_40675665,2025.0,systematic review,0.040439826,0.036284894,0.038323127,0.035189044,0.03742196,0.035165075,0.03705389,0.039269913,0.034925755,0.03682649,0.015979834,0.016306758,0.015561696,0.015947193,0.0152884675,0.016305437,0.01649008,0.017593246,0.016321626,0.017827202,0.017308371,0.016208468,0.016360477,0.016072256,0.01607086,0.017076937,0.016710665,0.016664993,0.016693974,0.016111461,0.025042858,0.02465908,0.024322055,0.024064662,0.026065921,0.025577743,0.025624136,0.02602583,0.024706941,0.024663717,0.023715097,0.025731983
pubmed_27325001,2016.0,systematic review,0.034597352,0.03496568,0.034990814,0.033027317,0.034721654,0.033159364,0.033786952,0.033412255,0.033976503,0.03396211,0.017635783,0.01846655,0.017614584,0.017602995,0.016132088,0.017102115,0.017398015,0.01805496,0.017881626,0.018468281,0.01732861,0.016989548,0.01891169,0.017837219,0.018178828,0.017956052,0.01714692,0.017555809,0.017734174,0.017304149,0.025152475,0.02572294,0.025915714,0.024763718,0.02616727,0.02652487,0.025979795,0.025462937,0.024079237,0.02641766,0.02385979,0.025953583
pubmed_27246519,2016.0,systematic review,0.036660023,0.03328204,0.0342713,0.033782497,0.034722734,0.033962976,0.034909263,0.03324074,0.03326366,0.03510476,0.017685503,0.017083796,0.017464412,0.017547695,0.015919112,0.016593892,0.017327255,0.017791662,0.016609667,0.017308136,0.017298313,0.01733361,0.016585084,0.017083395,0.016889507,0.01782413,0.017614134,0.016839698,0.01780604,0.017194977,0.02614121,0.02596498,0.026123213,0.02589175,0.026045231,0.02655661,0.026303286,0.026661461,0.024883356,0.026369866,0.025133912,0.02702513
pubmed_24602442,2014.0,systematic review,0.033951513,0.03418314,0.035725437,0.033075713,0.03279702,0.032699145,0.032092065,0.032630455,0.03313288,0.03411262,0.016416376,0.016869364,0.01666915,0.016482007,0.016142175,0.017637838,0.017861987,0.017997475,0.017063728,0.018241279,0.017690288,0.01716724,0.017193567,0.016686969,0.01662861,0.016567726,0.017443338,0.019041719,0.017168947,0.01723017,0.027016617,0.026216889,0.026533272,0.02583607,0.028021531,0.027619341,0.027110768,0.026999626,0.026555706,0.026684063,0.025162304,0.027643798
pubmed_28947182,2018.0,systematic review,0.034792595,0.033839382,0.03414623,0.03324232,0.034504488,0.034262326,0.034789916,0.032989614,0.0342883,0.034244847,0.016847132,0.017190639,0.017181665,0.016894188,0.015681207,0.016872266,0.017228618,0.017898677,0.01721253,0.017927675,0.017705634,0.01706409,0.017223159,0.016867643,0.017312096,0.018233735,0.016898591,0.016841214,0.017726671,0.017492553,0.025491957,0.026080465,0.027008476,0.02571415,0.026217906,0.027263558,0.026942104,0.02602089,0.025006587,0.02645509,0.023926813,0.028472004
pubmed_22814445,2012.0,systematic review,0.03640264,0.036403287,0.037268043,0.03361304,0.03591703,0.0342816,0.036876198,0.03444575,0.034526132,0.0357663,0.016149912,0.016543498,0.01597023,0.016338428,0.015782423,0.016875574,0.016963778,0.017367598,0.016361328,0.018104136,0.017312929,0.016955908,0.016707823,0.016669499,0.01631163,0.018032797,0.017319225,0.017480263,0.016609296,0.016743733,0.025015539,0.026018415,0.025051987,0.02490206,0.026283618,0.025932932,0.025391031,0.026905514,0.02590459,0.024727752,0.025529722,0.026136847
pubmed_1477890,1992.0,narrative or expert review,0.033707205,0.036070917,0.03513342,0.03273661,0.033879228,0.033916533,0.03424101,0.032600973,0.034638368,0.03427574,0.01598367,0.015893117,0.016335696,0.01638223,0.015374428,0.01655949,0.016790917,0.017178994,0.016575867,0.017429227,0.016835965,0.0163557,0.016555037,0.016470812,0.016319273,0.016734222,0.016406983,0.0167907,0.01636531,0.016862402,0.026832195,0.027907271,0.026913593,0.027681734,0.027604418,0.027912388,0.02746441,0.02808585,0.026620861,0.026656494,0.026690567,0.028230201
pubmed_12948346,2003.0,narrative or expert review,0.03515535,0.034207057,0.03602648,0.03231116,0.033828303,0.032434866,0.033440236,0.033341568,0.032663498,0.03339148,0.016728558,0.016891472,0.016937941,0.017270409,0.01617455,0.017639155,0.01815531,0.017642861,0.01726134,0.019725611,0.018720739,0.017722454,0.017943872,0.017113317,0.016996793,0.017044071,0.01715299,0.017502064,0.017624045,0.017052485,0.02680558,0.025592025,0.025856808,0.024916602,0.026379492,0.026714401,0.026591215,0.026425723,0.025979282,0.025691843,0.025621295,0.02732574
pubmed_17592957,2007.0,narrative or expert review,0.036364004,0.034913898,0.036634516,0.03281287,0.035433967,0.03488172,0.0357218,0.034066875,0.03314261,0.035227768,0.01641893,0.016590802,0.016637798,0.016605534,0.015761167,0.017008359,0.017291306,0.017896743,0.01687744,0.018840319,0.0179904,0.01734031,0.01751236,0.01677506,0.016990518,0.017868154,0.017214557,0.017403718,0.017403806,0.01747272,0.025075495,0.025120668,0.024678523,0.025653312,0.026624013,0.026547678,0.025493095,0.02630773,0.025556177,0.024966162,0.02377886,0.027198326
pubmed_18235536,2008.0,narrative or expert review,0.034770556,0.0346403,0.035843935,0.032238066,0.03366182,0.03329205,0.032595992,0.033183344,0.03355009,0.03452383,0.017333813,0.017617099,0.017228695,0.017588498,0.016918447,0.017641285,0.017795043,0.017873408,0.018277297,0.018871138,0.018138887,0.017383646,0.017761268,0.0172262,0.017701373,0.017572235,0.017567467,0.018618219,0.017578352,0.018107628,0.024335213,0.024960022,0.025179543,0.025169875,0.026661344,0.027036807,0.02559604,0.026071839,0.02597379,0.025778728,0.023477472,0.026659334
pubmed_24113949,2013.0,narrative or expert review,0.032805666,0.0367683,0.03492547,0.034397345,0.03422748,0.03229002,0.033596404,0.03178945,0.03499406,0.035005808,0.016422862,0.01675319,0.01716063,0.016858296,0.0156292,0.016538369,0.01655602,0.016977917,0.016817017,0.017411955,0.017575635,0.016479064,0.016193269,0.01728841,0.016519053,0.016860506,0.016523534,0.017332263,0.016696626,0.0175062,0.026399666,0.02747083,0.026539398,0.026303012,0.027472699,0.027556663,0.026631022,0.027790483,0.026659567,0.026462764,0.026394991,0.027318925
pubmed_11092802,2000.0,narrative or expert review,0.034685466,0.035859857,0.03534537,0.033514906,0.034768865,0.033789963,0.033438675,0.03171742,0.034900744,0.03517872,0.016261972,0.016032504,0.016097622,0.01647972,0.016042072,0.017192358,0.016666006,0.016527362,0.01708005,0.01772666,0.017627865,0.017152954,0.016884666,0.016413271,0.016247021,0.016748728,0.01659541,0.016952919,0.016502934,0.017067872,0.026732886,0.026842698,0.026825098,0.026525946,0.027205983,0.02711201,0.027470026,0.027177291,0.026820375,0.026413806,0.026247839,0.02702604
pubmed_37575343,2023.0,systematic review,0.033861957,0.036003288,0.03543547,0.032817196,0.03335785,0.033357795,0.033263423,0.0327446,0.034683526,0.035274867,0.017065763,0.017258884,0.017117409,0.016958255,0.01647326,0.017211221,0.017479146,0.01766529,0.017017877,0.018275307,0.017097848,0.01658485,0.016873509,0.017023014,0.016768811,0.017371751,0.017239738,0.017848872,0.017495358,0.017473832,0.02515922,0.026177166,0.026440293,0.025151754,0.027703146,0.027291745,0.0265877,0.027405774,0.026142184,0.025446933,0.024966625,0.02642747
pubmed_32988440,2020.0,narrative or expert review,0.032744672,0.035032112,0.034954987,0.032553673,0.032906514,0.03250224,0.03307793,0.032409012,0.03494018,0.033778653,0.015909797,0.016312407,0.016311554,0.016160237,0.0158937,0.01667481,0.016813343,0.016765218,0.017140798,0.017143711,0.01674977,0.01656722,0.016718945,0.016425017,0.016555142,0.01729234,0.016356567,0.017506206,0.016304212,0.017398987,0.02704599,0.027712552,0.02748422,0.027251605,0.028991628,0.02714644,0.027295284,0.028614324,0.028912468,0.026677618,0.026939802,0.028028093
pubmed_27351769,2016.0,narrative or expert review,0.036025148,0.034865748,0.035793923,0.032393903,0.034423053,0.03352604,0.03469975,0.034791034,0.03428362,0.03499781,0.01652458,0.017147401,0.01654887,0.01677197,0.016276414,0.016915154,0.017370703,0.01776712,0.016630705,0.018457305,0.017845474,0.01724442,0.01773453,0.016998969,0.017222699,0.01731534,0.017685624,0.017869068,0.01756729,0.017006334,0.025496187,0.02510469,0.025338784,0.02489047,0.026881697,0.026203997,0.026262665,0.025881564,0.026591618,0.024903188,0.02435702,0.02738813
pubmed_35645164,2023.0,narrative or expert review,0.03497654,0.036302846,0.034898885,0.03300993,0.03424563,0.033501122,0.033496045,0.03256203,0.034633692,0.034473296,0.016517956,0.015743854,0.015928714,0.016473476,0.016209265,0.017057125,0.016707743,0.017129282,0.017452573,0.017460292,0.017880736,0.017126119,0.017053133,0.016158005,0.016436387,0.016695695,0.017851966,0.017427383,0.016827025,0.016763208,0.02602727,0.02649062,0.026168702,0.026877481,0.02702201,0.02744781,0.027012832,0.027334273,0.027708288,0.02635327,0.025333688,0.027323764
pubmed_11762878,2001.0,narrative or expert review,0.034115598,0.033559356,0.033278476,0.032057796,0.0333049,0.033997804,0.032485243,0.03112014,0.033200607,0.034280073,0.016743062,0.016430898,0.016772475,0.01688972,0.01624126,0.017194673,0.017138476,0.016850688,0.01705951,0.017595692,0.017200824,0.01740288,0.016870683,0.016580243,0.017299103,0.017270112,0.016964927,0.016918166,0.017054845,0.017721765,0.026952785,0.028405802,0.026850361,0.027024603,0.027644768,0.02765909,0.027472347,0.027197778,0.026819065,0.027169565,0.02602797,0.02917585
pubmed_33682560,2021.0,systematic review,0.034384992,0.0349772,0.037163712,0.033295885,0.034100644,0.033102136,0.034414362,0.03283218,0.033578984,0.035249904,0.01720262,0.016790083,0.016763063,0.017359378,0.015934266,0.016854485,0.017770216,0.018180326,0.016326133,0.018615853,0.01823739,0.018478382,0.01650192,0.018067902,0.017005544,0.018198887,0.017385468,0.018128488,0.017029094,0.018370543,0.025234224,0.025708057,0.025545089,0.024954176,0.02675363,0.025890358,0.025046796,0.026836755,0.025926886,0.024828698,0.025455413,0.025419923
pubmed_36706441,2023.0,narrative or expert review,0.034257792,0.03376082,0.035464924,0.032098766,0.03313205,0.03188726,0.032198228,0.0329999,0.033617184,0.03368305,0.016971707,0.017258951,0.016791942,0.017019711,0.016978266,0.017992841,0.018334713,0.017854098,0.018276202,0.019398725,0.018431496,0.01755248,0.017332578,0.016480787,0.01745014,0.017567042,0.01789879,0.018478477,0.017693883,0.017437153,0.025512416,0.025818212,0.026823187,0.025043998,0.026782526,0.026436057,0.02647553,0.026757,0.027095284,0.025542106,0.024537921,0.026875744
pubmed_16968689,2006.0,narrative or expert review,0.033056356,0.036837306,0.03398965,0.032115016,0.03302291,0.03285337,0.03212614,0.030388106,0.036116354,0.033594802,0.015759014,0.0159519,0.015585596,0.015595813,0.016269542,0.016475737,0.015991531,0.015961662,0.016904665,0.01643384,0.016054165,0.016412525,0.016122028,0.015494396,0.015811274,0.016425299,0.01648997,0.016856283,0.015496395,0.01730833,0.027391989,0.031209351,0.027523236,0.028355561,0.028940484,0.027481096,0.028371936,0.029342296,0.027662626,0.028514609,0.02989323,0.027813558
